,Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate,mid_iv
1,56574.46,0.0275,2024-07-10 02:22:14,50.66,0.0275,49.42,0.026,0.26233,-34.13398,3e-05,69.09662,18.66302,50.66,BTC,2024-08-30,65000.0,Call,1555.79765,0.1400957046459471,0.0524821244160397,50.04
3,59313.15,0.2156,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.58724,-26.04106,1e-05,195.66776,158.23371,69.74,BTC,2025-03-28,62000.0,Call,12787.91514,0.7138661964492258,0.0495312563427249,69.74
6,58248.3031,0.1436,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.50039,-27.40102,1e-05,171.58679,113.32659,63.56,BTC,2025-01-24,65000.0,Call,8364.45632516,0.5417350489082422,0.0506328956869872,63.56
7,56575.29,0.0008,2024-07-10 02:22:14,61.84,0.0007,58.08,0.0004,0.01095,-3.75907,0.0,6.1152,0.80461,63.05,BTC,2024-08-30,100000.0,Call,45.260232,0.1400957046459471,0.0524821244160397,59.96
8,57673.6359,0.048,2024-07-10 02:22:14,78.68,0.05,38.19,0.0465,0.90424,-141.58751,8e-05,5.79826,1.72681,62.34,BTC,2024-07-11,55000.0,Call,2768.3345232,0.0034836827880236,0.0523045287876244,58.435
9,57202.91,0.0008,2024-07-10 02:22:14,56.21,0.001,53.12,0.0007,0.02622,-16.35039,1e-05,5.54764,0.36902,54.69,BTC,2024-07-19,68000.0,Call,45.762328,0.0253416062852914,0.0523329440881708,54.665
10,56575.29,0.0001,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00121,-0.59743,0.0,0.85523,0.09041,72.66,BTC,2024-08-30,135000.0,Call,5.657529,0.1400957046459471,0.0524821244160397,72.66
14,59312.74,0.2798,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.64785,-29.19218,1e-05,186.52951,156.6581,81.99,BTC,2025-03-28,58000.0,Call,16595.704652,0.7138661964492258,0.0495312563427249,81.99
15,56575.1,0.1313,2024-07-10 02:22:14,51.39,0.1325,47.66,0.128,0.74016,-33.77667,3e-05,68.75948,48.39393,50.38,BTC,2024-08-30,51000.0,Call,7428.31063,0.1400957046459471,0.0524821244160397,49.525
16,60398.54,0.3195,2024-07-10 02:22:14,64.66,0.3235,61.89,0.3145,0.73065,-17.63962,1e-05,195.95686,239.68877,63.42,BTC,2025-06-27,50000.0,Call,19297.33353,0.9625000762306466,0.0479399995121238,63.275
