,Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate,collection_time,mid_iv,Put_Price
0,58294.8987,0.1081,2024-09-02 14:20:50,163.47,0.11,0.0,0.106,0.99236,-29.17071,1e-05,0.56588,1.09745,103.1,BTC,2024-09-03,52000.0,Call,6301.67854947,0.0054794520547945,0.0529857534246575,2024-09-02 14:21:33,1.031,5.82946536
1,58296.0702,0.1081,2024-09-02 14:23:33,163.31,0.11,0.0,0.106,0.99242,-28.96531,1e-05,0.56189,1.09556,103.1,BTC,2024-09-03,52000.0,Call,6301.80518862,0.0054794520547945,0.0529857534246575,2024-09-02 14:24:14,1.031,5.82975802
2,58274.8553,0.1078,2024-09-02 14:26:14,168.66,0.11,0.0,0.106,0.99228,-29.40842,1e-05,0.57049,1.0944,103.1,BTC,2024-09-03,52000.0,Call,6282.029401340001,0.0054794520547945,0.0529857534246575,2024-09-02 14:26:56,1.031,5.8279429700000005
3,58271.4463,0.1077,2024-09-02 14:28:56,169.85,0.11,0.0,0.106,0.99237,-29.05042,1e-05,0.56354,1.08961,103.1,BTC,2024-09-03,52000.0,Call,6275.834766510001,0.0054794520547945,0.0529857534246575,2024-09-02 14:29:40,1.031,5.82712538
4,58319.7256,0.1084,2024-09-02 14:31:40,175.32,0.111,0.0,0.106,0.99279,-27.60631,1e-05,0.53553,1.08719,103.1,BTC,2024-09-03,52000.0,Call,6321.85825504,0.0054794520547945,0.0529857534246575,2024-09-02 14:32:41,1.031,5.83228971
5,58226.2093,0.107,2024-09-02 14:34:41,164.1,0.109,0.0,0.105,0.99215,-29.65731,1e-05,0.57532,1.08347,103.1,BTC,2024-09-03,52000.0,Call,6230.2043951000005,0.0054794520547945,0.0529857534246575,2024-09-02 14:35:28,1.031,5.82171954
6,58170.3674,0.1062,2024-09-02 14:37:28,169.28,0.1085,0.0,0.104,0.99175,-30.9253,1e-05,0.59991,1.08102,103.1,BTC,2024-09-03,52000.0,Call,6177.69301788,0.0054794520547945,0.0529857534246575,2024-09-02 14:38:19,1.031,5.8175791100000005
7,58212.8319,0.1069,2024-09-02 14:40:19,176.01,0.1095,0.0,0.1045,0.99219,-29.45694,1e-05,0.57143,1.07763,103.1,BTC,2024-09-03,52000.0,Call,6222.95173011,0.0054794520547945,0.0529857534246575,2024-09-02 14:41:08,1.031,5.821110730000001
8,58229.1017,0.1071,2024-09-02 14:43:08,172.62,0.1095,0.0,0.1055,0.99238,-28.77804,1e-05,0.55826,1.07493,103.1,BTC,2024-09-03,52000.0,Call,6236.33679207,0.0054794520547945,0.0529857534246575,2024-09-02 14:43:50,1.031,5.82111807
9,58427.0848,0.1101,2024-09-02 15:29:09,179.93,0.1125,0.0,0.108,0.99463,-20.76619,1e-05,0.40284,1.03343,103.1,BTC,2024-09-03,52000.0,Call,6432.82203648,0.0054794520547945,0.0529857534246575,2024-09-02 15:29:52,1.031,5.8418127900000005
10,58723.362,0.1145,2024-09-02 15:33:52,177.43,0.1165,0.0,0.1125,0.99617,-15.38671,0.0,0.29848,1.03032,103.1,BTC,2024-09-03,52000.0,Call,6723.824949000001,0.0054794520547945,0.0529857534246575,2024-09-02 15:34:41,1.031,5.874637000000001
11,58705.7113,0.1143,2024-09-02 15:38:41,182.52,0.1165,0.0,0.112,0.99617,-15.35615,0.0,0.29789,1.02539,103.1,BTC,2024-09-03,52000.0,Call,6710.06280159,0.0054794520547945,0.0529857534246575,2024-09-02 15:39:28,1.031,5.8705257500000005
12,58623.6736,0.1131,2024-09-02 15:41:28,185.28,0.1155,0.0,0.111,0.99584,-16.50046,0.0,0.32009,1.02303,103.1,BTC,2024-09-03,52000.0,Call,6630.337484160001,0.0054794520547945,0.0529857534246575,2024-09-02 15:42:13,1.031,5.862507420000001
13,58583.3489,0.1124,2024-09-02 15:44:13,177.72,0.1145,0.0,0.1105,0.9957,-16.96169,0.0,0.32904,1.01992,103.1,BTC,2024-09-03,52000.0,Call,6584.76841636,0.0054794520547945,0.0529857534246575,2024-09-02 15:44:56,1.031,5.85923757
14,58727.4095,0.1146,2024-09-02 15:46:56,177.42,0.1165,0.0,0.1125,0.99637,-14.57484,0.0,0.28273,1.01774,103.1,BTC,2024-09-03,52000.0,Call,6730.1611287,0.0054794520547945,0.0529857534246575,2024-09-02 15:47:47,1.031,5.871415280000001
15,58702.4841,0.1142,2024-09-02 15:49:47,184.32,0.1165,0.0,0.112,0.99631,-14.76211,0.0,0.28637,1.01472,103.1,BTC,2024-09-03,52000.0,Call,6703.82368422,0.0054794520547945,0.0529857534246575,2024-09-02 15:50:34,1.031,5.871187470000001
16,58429.4014,0.1101,2024-09-02 20:38:33,190.56,0.1115,0.0,0.1075,0.99878,-4.56799,0.0,0.08861,0.73209,103.1,BTC,2024-09-03,52000.0,Call,6433.077094140001,0.0054794520547945,0.0529857534246575,2024-09-02 20:39:16,1.031,11.68695564
17,58427.2959,0.11,2024-09-02 20:41:16,214.37,0.1125,0.0,0.1085,0.99878,-4.54969,0.0,0.08826,0.73111,103.1,BTC,2024-09-03,52000.0,Call,6427.002549,0.0054794520547945,0.0529857534246575,2024-09-02 20:41:59,1.031,11.6875109
18,58437.0586,0.1102,2024-09-02 20:43:59,211.98,0.1125,0.0,0.1085,0.99883,-4.39984,0.0,0.08535,0.72818,103.1,BTC,2024-09-03,52000.0,Call,6439.76385772,0.0054794520547945,0.0529857534246575,2024-09-02 20:44:41,1.031,11.68673394
19,58467.0481,0.1106,2024-09-02 20:46:41,202.61,0.1125,0.0,0.1085,0.99888,-4.2273,0.0,0.082,0.72822,103.1,BTC,2024-09-03,52000.0,Call,6466.45551986,0.0054794520547945,0.0529857534246575,2024-09-02 20:47:24,1.031,11.693185600000001
20,58447.1551,0.1103,2024-09-02 20:49:24,209.81,0.1125,0.0,0.1085,0.99889,-4.16376,0.0,0.08077,0.7223,103.1,BTC,2024-09-03,52000.0,Call,6446.72120753,0.0054794520547945,0.0529857534246575,2024-09-02 20:50:07,1.031,11.68936066
21,58451.7236,0.1104,2024-09-02 20:52:07,196.69,0.112,0.0,0.1085,0.9989,-4.1093,0.0,0.07972,0.72132,103.1,BTC,2024-09-03,52000.0,Call,6453.07028544,0.0054794520547945,0.0529857534246575,2024-09-02 20:52:50,1.031,11.690264560000001
22,58445.7936,0.1103,2024-09-02 20:54:50,199.5,0.112,0.0,0.1085,0.99893,-3.99845,0.0,0.07757,0.71641,103.1,BTC,2024-09-03,52000.0,Call,6446.57103408,0.0054794520547945,0.0529857534246575,2024-09-02 20:55:33,1.031,11.6916823
23,58444.2721,0.1103,2024-09-02 20:57:33,200.32,0.112,0.0,0.1085,0.99895,-3.94998,0.0,0.07662,0.71444,103.1,BTC,2024-09-03,52000.0,Call,6446.40321263,0.0054794520547945,0.0529857534246575,2024-09-02 20:58:15,1.031,11.68907032
24,58462.703,0.1106,2024-09-02 21:00:15,217.4,0.113,0.0,0.1085,0.999,-3.76975,0.0,0.07313,0.71152,103.1,BTC,2024-09-03,52000.0,Call,6465.974951800001,0.0054794520547945,0.0529857534246575,2024-09-02 21:00:59,1.031,11.692520660000001
25,58420.1481,0.1099,2024-09-02 21:02:59,209.08,0.112,0.0,0.1075,0.99894,-3.93807,0.0,0.07639,0.7095,103.1,BTC,2024-09-03,52000.0,Call,6420.374276189999,0.0054794520547945,0.0529857534246575,2024-09-02 21:03:41,1.031,11.68380312
26,58438.0648,0.1102,2024-09-02 21:05:41,203.74,0.112,0.0,0.1085,0.999,-3.73278,0.0,0.07241,0.70559,103.1,BTC,2024-09-03,52000.0,Call,6439.87474096,0.0054794520547945,0.0529857534246575,2024-09-02 21:06:23,1.031,11.68644596
27,58473.889,0.1107,2024-09-02 21:08:23,215.28,0.113,0.0,0.1085,0.99907,-3.50081,0.0,0.06791,0.70367,103.1,BTC,2024-09-03,52000.0,Call,6473.0595123,0.0054794520547945,0.0529857534246575,2024-09-02 21:09:05,1.031,11.6953212
28,58481.7657,0.1108,2024-09-02 21:11:05,213.3,0.113,0.0,0.1095,0.9991,-3.38615,0.0,0.06569,0.70073,103.1,BTC,2024-09-03,52000.0,Call,6479.77963956,0.0054794520547945,0.0529857534246575,2024-09-02 21:11:47,1.031,11.69675238
29,58550.7806,0.1119,2024-09-02 21:13:47,214.35,0.114,0.0,0.1095,0.99921,-3.00474,0.0,0.05829,0.69785,103.1,BTC,2024-09-03,52000.0,Call,6551.83234914,0.0054794520547945,0.0529857534246575,2024-09-02 21:14:30,1.031,11.71035646
30,58556.0594,0.112,2024-09-02 21:16:30,213.09,0.114,0.0,0.1095,0.99923,-2.91405,0.0,0.05653,0.6949,103.1,BTC,2024-09-03,52000.0,Call,6558.2786528,0.0054794520547945,0.0529857534246575,2024-09-02 21:17:12,1.031,11.710254760000002
31,58563.7779,0.1121,2024-09-02 21:19:12,210.52,0.114,0.0,0.1105,0.99924,-2.88232,0.0,0.05591,0.69491,103.1,BTC,2024-09-03,52000.0,Call,6564.999502590001,0.0054794520547945,0.0529857534246575,2024-09-02 21:19:54,1.031,11.7110237
32,58554.4614,0.1119,2024-09-02 21:21:54,214.23,0.114,0.0,0.1105,0.99925,-2.8309,0.0,0.05492,0.69097,103.1,BTC,2024-09-03,52000.0,Call,6552.24423066,0.0054794520547945,0.0529857534246575,2024-09-02 21:22:37,1.031,11.71089922
33,58566.6384,0.1121,2024-09-02 21:24:37,210.74,0.114,0.0,0.1105,0.99929,-2.69544,0.0,0.05229,0.68704,103.1,BTC,2024-09-03,52000.0,Call,6565.32016464,0.0054794520547945,0.0529857534246575,2024-09-02 21:25:21,1.031,11.71077528
34,58280.9901,0.0908,2024-09-02 14:20:50,147.28,0.093,0.0,0.089,0.9871,-41.68144,1e-05,0.89405,1.11212,93.24,BTC,2024-09-03,53000.0,Call,5291.913901080001,0.0054794520547945,0.0529857534246575,2024-09-02 14:21:33,0.9323999999999999,11.6577004
35,58295.7285,0.091,2024-09-02 14:23:33,144.14,0.093,0.0,0.089,0.98754,-40.33494,1e-05,0.86732,1.11068,93.01,BTC,2024-09-03,53000.0,Call,5304.911293499999,0.0054794520547945,0.0529857534246575,2024-09-02 14:24:14,0.9301,11.658972380000002
36,58285.1575,0.0909,2024-09-02 14:26:14,146.7,0.093,0.0,0.089,0.98764,-39.90015,1e-05,0.85973,1.10783,92.82,BTC,2024-09-03,53000.0,Call,5298.12081675,0.0054794520547945,0.0529857534246575,2024-09-02 14:26:56,0.9281999999999999,11.65612196
37,58273.6956,0.0907,2024-09-02 14:28:56,149.37,0.093,0.0,0.089,0.98775,-39.4481,1e-05,0.85193,1.10499,92.61,BTC,2024-09-03,53000.0,Call,5285.42419092,0.0054794520547945,0.0529857534246575,2024-09-02 14:29:40,0.9261,11.65067644
38,58308.55,0.0912,2024-09-02 14:31:40,141.7,0.093,0.0,0.089,0.98837,-37.62775,1e-05,0.81369,1.10277,92.49,BTC,2024-09-03,53000.0,Call,5317.73976,0.0054794520547945,0.0529857534246575,2024-09-02 14:32:41,0.9248999999999999,11.6571473
39,58212.9346,0.0897,2024-09-02 14:34:41,147.76,0.092,0.0,0.088,0.98731,-40.44221,1e-05,0.87532,1.09848,92.41,BTC,2024-09-03,53000.0,Call,5221.70023362,0.0054794520547945,0.0529857534246575,2024-09-02 14:35:28,0.9240999999999999,11.64012514
40,58173.0047,0.0891,2024-09-02 14:37:28,148.98,0.0915,0.0,0.0865,0.98709,-40.83378,1e-05,0.88649,1.09524,92.12,BTC,2024-09-03,53000.0,Call,5183.214718769999,0.0054794520547945,0.0529857534246575,2024-09-02 14:38:19,0.9212,11.6340866
41,58202.6147,0.0896,2024-09-02 14:40:19,142.64,0.0915,0.0,0.088,0.98773,-38.95182,1e-05,0.84782,1.09404,91.89,BTC,2024-09-03,53000.0,Call,5214.95427712,0.0054794520547945,0.0529857534246575,2024-09-02 14:41:08,0.9189,11.63357836
42,58212.8179,0.0897,2024-09-02 14:43:08,140.41,0.0915,0.0,0.088,0.98798,-38.19624,1e-05,0.83168,1.09137,91.85,BTC,2024-09-03,53000.0,Call,5221.689765630001,0.0054794520547945,0.0529857534246575,2024-09-02 14:43:50,0.9185,11.64050054
43,58425.1313,0.093,2024-09-02 15:29:09,151.04,0.095,0.0,0.091,0.98998,-32.96939,1e-05,0.69729,1.04793,94.56,BTC,2024-09-03,53000.0,Call,5433.5372109,0.0054794520547945,0.0529857534246575,2024-09-02 15:29:52,0.9456,5.84084874
44,58728.1174,0.0977,2024-09-02 15:33:52,162.91,0.1,0.0,0.096,0.99126,-30.32744,1e-05,0.6208,1.04439,97.7,BTC,2024-09-03,53000.0,Call,5737.73706998,0.0054794520547945,0.0529857534246575,2024-09-02 15:34:41,0.977,5.86952708
45,58698.6952,0.0973,2024-09-02 15:38:41,161.92,0.0995,0.0,0.0955,0.99112,-30.66825,1e-05,0.62778,1.03923,97.7,BTC,2024-09-03,53000.0,Call,5711.38304296,0.0054794520547945,0.0529857534246575,2024-09-02 15:39:28,0.977,5.8672448600000005
46,58645.1145,0.0964,2024-09-02 15:41:28,158.16,0.0985,0.0,0.0945,0.99068,-31.90002,1e-05,0.65299,1.03574,97.7,BTC,2024-09-03,53000.0,Call,5653.389037800001,0.0054794520547945,0.0529857534246575,2024-09-02 15:42:13,0.977,5.8627234800000005
47,58580.7697,0.0954,2024-09-02 15:44:13,156.94,0.0975,0.0,0.0935,0.99012,-33.49926,1e-05,0.68573,1.03209,97.7,BTC,2024-09-03,53000.0,Call,5588.60542938,0.0054794520547945,0.0529857534246575,2024-09-02 15:44:56,0.977,5.861886800000001
48,58763.0533,0.0983,2024-09-02 15:46:56,164.07,0.1005,0.0,0.0965,0.99191,-28.1794,1e-05,0.57683,1.03217,97.7,BTC,2024-09-03,53000.0,Call,5776.40813939,0.0054794520547945,0.0529857534246575,2024-09-02 15:47:47,0.977,5.873642650000001
49,58713.185,0.0974,2024-09-02 15:49:47,167.49,0.1,0.0,0.095,0.99154,-29.22708,1e-05,0.59828,1.02875,97.7,BTC,2024-09-03,53000.0,Call,5718.664219,0.0054794520547945,0.0529857534246575,2024-09-02 15:50:34,0.977,5.86975217
50,58425.919,0.0928,2024-09-02 20:38:33,179.66,0.095,0.0,0.091,0.99704,-9.42804,0.0,0.19858,0.74473,94.95,BTC,2024-09-03,53000.0,Call,5421.9252832,0.0054794520547945,0.0529857534246575,2024-09-02 20:39:16,0.9495,11.68624766
51,58425.5876,0.0929,2024-09-02 20:41:16,179.87,0.095,0.0,0.091,0.99705,-9.37828,0.0,0.19754,0.74374,94.95,BTC,2024-09-03,53000.0,Call,5427.737088039999,0.0054794520547945,0.0529857534246575,2024-09-02 20:41:59,0.9495,11.68803196
52,58445.8758,0.0932,2024-09-02 20:43:59,174.43,0.095,0.0,0.091,0.99722,-8.87149,0.0,0.18686,0.73885,94.95,BTC,2024-09-03,53000.0,Call,5447.15562456,0.0054794520547945,0.0529857534246575,2024-09-02 20:44:41,0.9495,11.68646374
53,58470.9427,0.0936,2024-09-02 20:46:41,187.61,0.096,0.0,0.0915,0.99735,-8.48173,0.0,0.17865,0.73695,94.95,BTC,2024-09-03,53000.0,Call,5472.8802367200005,0.0054794520547945,0.0529857534246575,2024-09-02 20:47:24,0.9495,11.69159444
54,58447.4848,0.0932,2024-09-02 20:49:24,174.52,0.095,0.0,0.0915,0.9973,-8.5961,0.0,0.18106,0.7339,94.95,BTC,2024-09-03,53000.0,Call,5447.30558336,0.0054794520547945,0.0529857534246575,2024-09-02 20:50:07,0.9495,11.6912188
55,58451.1259,0.0933,2024-09-02 20:52:07,173.6,0.095,0.0,0.0915,0.99735,-8.45355,0.0,0.17806,0.73192,94.95,BTC,2024-09-03,53000.0,Call,5453.49004647,0.0054794520547945,0.0529857534246575,2024-09-02 20:52:50,0.9495,11.68806762
56,58444.9764,0.0932,2024-09-02 20:54:50,175.91,0.095,0.0,0.0915,0.99737,-8.3718,0.0,0.17634,0.72893,94.95,BTC,2024-09-03,53000.0,Call,5447.07180048,0.0054794520547945,0.0529857534246575,2024-09-02 20:55:33,0.9495,11.69183098
57,58444.3162,0.0932,2024-09-02 20:57:33,176.36,0.095,0.0,0.0915,0.9974,-8.27912,0.0,0.17438,0.72694,94.95,BTC,2024-09-03,53000.0,Call,5447.010269840001,0.0054794520547945,0.0529857534246575,2024-09-02 20:58:15,0.9495,11.68910282
58,58462.8729,0.0935,2024-09-02 21:00:15,191.44,0.096,0.0,0.0915,0.99752,-7.92943,0.0,0.16702,0.72402,94.95,BTC,2024-09-03,53000.0,Call,5466.27861615,0.0054794520547945,0.0529857534246575,2024-09-02 21:00:59,0.9495,11.692533300000001
