Coin_Price,mark_price,timestamp,ask_iv,best_ask_price,bid_iv,best_bid_price,delta,theta,gamma,vega,rho,mark_iv,Coin_Name,Expiry_Date,Strike_Price,Option_Type,Market_Price,Time_To_Maturity,Risk_Free_Rate
56574.46,0.1102,2024-07-10 02:22:14,50.39,0.1115,48.68,0.109,-0.58873,-39.80082,4e-05,82.49377,-55.54657,49.48,BTC,2024-08-30,60000.0,Put,6234.505492,0.14009570464594717,0.05248212441603973
56574.46,0.0275,2024-07-10 02:22:14,50.66,0.0275,49.42,0.026,0.26233,-34.13398,3e-05,69.09662,18.66302,50.66,BTC,2024-08-30,65000.0,Call,1555.79765,0.14009570464594717,0.05248212441603973
56768.57,0.3913,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,-0.85716,-21.19357,2e-05,59.96996,-155.35806,56.55,BTC,2024-09-27,78000.0,Put,22213.541440999998,0.21659843688638433,0.052369475251276325
59313.15,0.2156,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.58724,-26.04106,1e-05,195.66776,158.23371,69.74,BTC,2025-03-28,62000.0,Call,12787.915140000001,0.7138661964492258,0.049531256342724955
56910.37,0.002,2024-07-10 02:22:14,225.78,0.064,0.0,0.0,-0.02914,-19.49332,1e-05,7.98272,-0.79048,79.5,BTC,2024-07-26,42000.0,Put,113.82074,0.04446728934540073,0.05235780747614902
57673.6359,0.0206,2024-07-10 02:22:14,57.48,0.022,45.73,0.0195,-0.67617,-244.67688,0.00021,12.25679,-1.40526,50.96,BTC,2024-07-11,58500.0,Put,1188.07689954,0.0034836827880236794,0.052304528787624434
58248.3031,0.1436,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.50039,-27.40102,1e-05,171.58679,113.32659,63.56,BTC,2025-01-24,65000.0,Call,8364.45632516,0.5417350489082422,0.05063289568698725
56575.29,0.0008,2024-07-10 02:22:14,61.84,0.0007,58.08,0.0004,0.01095,-3.75907,0.0,6.1152,0.80461,63.05,BTC,2024-08-30,100000.0,Call,45.260232,0.14009570464594717,0.05248212441603973
57673.6359,0.048,2024-07-10 02:22:14,78.68,0.05,38.19,0.0465,0.90424,-141.58751,8e-05,5.79826,1.72681,62.34,BTC,2024-07-11,55000.0,Call,2768.3345232,0.0034836827880236794,0.052304528787624434
57202.91,0.0008,2024-07-10 02:22:14,56.21,0.001,53.12,0.0007,0.02622,-16.35039,1e-05,5.54764,0.36902,54.69,BTC,2024-07-19,68000.0,Call,45.762328000000004,0.02534160628529144,0.05233294408817089
56575.29,0.0001,2024-07-10 02:22:14,0.0,0.0,0.0,0.0,0.00121,-0.59743,0.0,0.85523,0.09041,72.66,BTC,2024-08-30,135000.0,Call,5.657529,0.14009570464594717,0.05248212441603973
57775.39,1.6035,2024-07-10 02:22:14,80.28,1.6105,60.18,1.5985,-0.95703,-7.54038,0.0,36.04056,-690.13112,71.25,BTC,2024-12-27,150000.0,Put,92642.837865,0.4652323166678051,0.05112096794295573
56768.29,0.4228,2024-07-10 02:22:14,59.27,0.426,51.53,0.419,-0.8818,-18.49296,1e-05,52.36197,-160.85874,56.0,BTC,2024-09-27,80000.0,Put,24001.633012000002,0.21659843688638433,0.052369475251276325
